"Season","Team","G","AB","PA","AVG","ISO","WAR","Spd","Def"
"2003","Blue Jays","2278","5661","6364",".279",".175","18.4","3.9","-88.7"
"1977","Phillies","2164","5544","6291",".279",".169","38.5","5.3","95.8"
"2001","Mariners","2043","5680","6474",".288",".157","44.4","5.7","84.6"
"1993","Blue Jays","1603","5579","6319",".279",".157","28.6","5.5","-3.7"
"1998","Orioles","2017","5565","6304",".273",".174","24.9","3.7","-29.3"
"2001","Indians","1901","5600","6357",".278",".179","23.7","4.7","-67.4"
"2000","Rangers","1874","5648","6364",".283",".163","10.2","4.1","-76.8"
"2007","Tigers","2269","5757","6364",".287",".171","30.7","5.5","19.4"
"1928","Cubs","1664","5254","6003",".278",".125","24.3","5.0","84.3"
"1998","Indians","1849","5613","6373",".273",".176","26.6","4.9","20.9"
"1998","Astros","2121","5638","6437",".280",".156","35.1","5.1","44.5"
"1935","Red Sox","1751","5288","6058",".276",".116","13.0","5.0","23.5"
"1996","Athletics","1834","5630","6402",".265",".187","17.6","3.7","-73.0"
"1936","Pirates","1698","5586","6211",".286",".112","22.8","4.9","34.1"
"1952","Yankees","1778","5292","5987",".266",".136","37.7","4.3","94.1"
"1977","Yankees","1724","5605","6261",".281",".163","37.0","4.6","27.7"
"2013","Red Sox","2264","5651","6382",".277",".169","35.9","5.2","6.7"
"2006","Indians","2135","5619","6303",".280",".177","21.2","4.2","-61.4"
"1948","Giants","1957","5276","5957",".256",".152","21.8","4.5","26.4"
"1978","Brewers","1632","5536","6227",".276",".155","34.7","4.7","3.1"
"2016","Red Sox","1823","5670","6320",".282",".179","33.9","4.6","10.9"
"1999","Mariners","1915","5572","6310",".269",".186","18.3","4.6","-71.7"
"1977","White Sox","1705","5632","6321",".278",".166","19.0","4.1","-116.7"
"1938","Athletics","1699","5229","5934",".270",".126","7.1","4.7","-17.4"
"1923","Cardinals","1803","5526","6137",".286",".111","20.0","5.1","19.8"
"1939","Reds","1721","5364","6091",".278",".127","29.8","4.5","87.6"
"1945","Cubs","1792","5292","6028",".277",".095","29.6","4.7","63.6"
"1924","Red Sox","1800","5332","6176",".277",".097","10.2","4.6","-20.6"
"1962","Giants","2010","5588","6277",".278",".163","37.8","4.3","70.9"
"1934","Dodgers","1839","5427","6074",".281",".115","23.3","4.4","18.7"
"1943","Cardinals","1729","5435","6055",".279",".113","33.3","4.5","81.3"
"1947","Tigers","1820","5276","6147",".258",".119","22.3","3.7","23.9"
"2003","Cardinals","2391","5672","6466",".279",".175","34.4","4.5","53.5"
"2010","Yankees","2313","5567","6379",".267",".169","32.3","4.8","-8.1"
"1937","Browns","1758","5503","6116",".285",".114","5.3","3.6","-14.9"
"1926","Indians","1662","5290","6001",".289",".097","21.1","4.9","72.8"
"1948","Tigers","1857","5234","6062",".267",".109","16.1","3.6","20.1"
"2009","Angels","2246","5622","6305",".285",".156","28.7","5.0","-4.5"
"1927","Senators","1806","5393","6123",".287",".098","20.4","6.1","49.2"
"1994","Reds","1585","3999","4512",".286",".164","21.6","5.6","31.8"
"1998","Braves","1971","5484","6217",".272",".181","37.6","4.6","124.6"
"2007","Rockies","2407","5691","6498",".280",".158","23.1","4.9","41.6"
"1975","Red Sox","1744","5448","6175",".275",".142","29.4","4.2","47.8"
"1931","Senators","1715","5574","6182",".286",".115","25.0","5.3","67.2"
"2006","White Sox","2286","5657","6318",".280",".184","19.3","4.2","-34.1"
"1947","Braves","1814","5252","5953",".275",".115","21.7","4.2","37.8"
"1925","Giants","1711","5324","5854",".283",".132","15.7","4.7","21.2"
"1926","Pirates","1800","5312","5969",".285",".111","20.5","5.9","55.3"
"1980","Red Sox","1671","5603","6200",".283",".153","24.7","4.1","-12.5"
"1994","Rangers","1156","3983","4531",".280",".157","9.6","5.0","-56.5"
"1935","Senators","1745","5592","6302",".285",".097","17.3","5.1","12.8"
"1923","Browns","1663","5291","5965",".282",".117","13.3","4.4","33.9"
"1984","Tigers","1875","5644","6375",".271",".161","35.5","4.6","27.9"
"1936","Cubs","1702","5409","6069",".286",".106","27.5","4.2","76.5"
"1995","White Sox","1570","5060","5770",".280",".151","21.0","5.0","-35.5"
"1947","Red Sox","1800","5322","6100",".265",".117","23.5","4.0","46.7"
"1950","Braves","1808","5363","6079",".263",".142","22.3","4.2","22.6"
"1923","Reds","1624","5277","5934",".285",".106","21.6","5.4","51.6"
"2010","Red Sox","2327","5646","6356",".268",".183","24.4","4.1","-41.3"
"1942","Browns","1718","5226","5944",".259",".126","21.6","4.3","9.7"
"2004","Indians","2287","5676","6452",".276",".168","26.8","4.4","-18.2"
"1924","Robins","1618","5339","5951",".287",".103","19.6","3.9","4.0"
"1994","Orioles","1127","3856","4386",".272",".166","20.8","4.8","41.4"
"1932","Senators","1792","5515","6141",".284",".124","25.2","5.7","78.8"
"1953","Giants","1926","5354","5945",".271",".152","18.9","3.9","31.6"
"1975","Reds","2148","5581","6419",".271",".130","43.2","5.6","99.1"
"2011","Yankees","2301","5518","6306",".263",".181","33.0","5.2","6.3"
"1954","Giants","1948","5238","5928",".264",".160","24.9","3.7","88.2"
"1945","Yankees","1636","5176","5925",".259",".114","30.8","4.7","61.1"
"1995","Yankees","1519","4948","5699",".276",".144","21.9","4.2","-9.3"
"1930","Tigers","1741","5297","5926",".284",".137","13.9","5.8","32.6"
"1935","Giants","1716","5622","6162",".286",".130","29.8","4.2","62.6"
"1986","Yankees","1758","5570","6325",".271",".159","30.6","4.5","-26.0"
"2004","Rockies","2351","5577","6333",".275",".180","14.1","4.0","-3.7"
"1928","Senators","1720","5322","6011",".284",".110","21.1","5.9","42.0"
"2015","Blue Jays","2337","5509","6231",".269",".188","34.6","4.6","-9.1"
"1945","Pirates","1851","5342","6036",".267",".110","20.0","4.8","13.1"
"1935","Athletics","1641","5269","5849",".279",".127","14.2","3.9","18.8"
"1951","Athletics","1766","5277","6049",".262",".124","22.1","4.0","48.2"
"1999","Reds","2274","5650","6378",".272",".179","30.8","5.5","137.4"
"1928","Browns","1693","5219","6002",".274",".118","16.5","5.6","35.8"
"1943","Yankees","1624","5281","6023",".256",".120","32.2","3.9","59.7"
"1996","Twins","1769","5673","6403",".288",".137","21.9","5.3","12.8"
"1985","Red Sox","1742","5720","6420",".282",".147","27.1","4.1","-25.8"
"1993","Phillies","2195","5685","6527",".274",".153","27.7","5.1","-7.5"
"2004","Cardinals","2381","5555","6297",".278",".182","33.6","4.5","60.7"
"1935","Pirates","1637","5415","5973",".285",".117","21.5","4.7","19.1"
"1980","Brewers","1598","5653","6242",".275",".173","32.4","4.9","5.2"
"1977","Reds","2096","5524","6265",".274",".162","31.5","5.3","34.7"
"2005","Rangers","2193","5716","6301",".267",".201","20.8","4.5","-54.3"
"1973","Braves","2055","5631","6384",".266",".161","29.8","4.2","31.0"
"1999","Phillies","2206","5598","6386",".275",".156","24.2","5.2","73.4"
