"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"1977","Tigers","1674","6173","166","714","676","60","7.3 %","12.3 %",".146",".278",".264",".318",".410",".322","94","-2.2","-44.1","-32.3","13.4"
"2005","Pirates","2289","6221","139","680","656","73","7.6 %","17.6 %",".141",".297",".259",".322",".400",".315","89","-5.0","-91.3","22.8","13.4"
"1935","Reds","1792","5798","73","646","605","72","6.8 %","9.4 %",".113",".284",".265",".319",".378",".322","89","12.6","-72.1","11.0","13.4"
"1921","Reds","1601","5727","20","618","560","117","6.5 %","5.4 %",".092",".293",".278",".333",".370",".328","90","-12.8","-87.7","26.6","13.4"
"1921","Cubs","1724","5907","37","668","609","70","5.8 %","6.3 %",".086",".309",".292",".339",".378",".334","89","-11.2","-94.4","26.9","13.4"
"1961","Red Sox","1972","6307","112","729","682","56","10.3 %","13.4 %",".120",".281",".254",".334",".374",".319","86","-1.4","-112.9","49.5","13.4"
"1968","Mets","1993","6027","81","473","434","72","6.3 %","20.0 %",".087",".276",".228",".281",".315",".273","80","-0.2","-117.9","36.6","13.4"
"1920","Braves","1650","5802","23","521","456","88","6.6 %","8.4 %",".078",".284",".260",".315",".339",".311","91","-4.8","-63.8","7.8","13.4"
"1917","Yankees","1648","5858","27","524","445","136","8.5 %","9.1 %",".070",".262",".239",".310",".308",".305","89","-3.8","-73.5","12.2","13.4"
"1917","Robins","1650","5776","25","510","429","130","5.8 %","9.1 %",".074",".271",".247",".296",".322",".301","89","-2.8","-68.9","5.3","13.3"
"1967","Dodgers","2093","6103","82","519","465","56","7.9 %","14.4 %",".096",".266",".236",".301",".332",".286","90","-2.5","-72.4","-17.1","13.3"
"1954","Redlegs","1946","5968","147","728","685","47","9.3 %","10.8 %",".144",".272",".262",".333",".406",".339","89","1.8","-84.1","25.9","13.3"
"1994","Mariners","1204","4361","153","569","549","48","8.5 %","15.0 %",".182",".287",".269",".335",".451",".339","99","0.5","-4.7","-7.1","13.3"
"1923","Browns","1663","5965","82","687","613","64","7.4 %","7.1 %",".117",".295",".282",".340",".399",".345","88","3.2","-93.9","33.9","13.3"
"1966","Cubs","2047","6208","140","644","603","76","7.4 %","16.1 %",".127",".285",".254",".314",".381",".307","89","0.5","-82.9","-6.8","13.3"
"2012","Royals","2249","6149","131","676","643","132","6.6 %","16.8 %",".135",".302",".265",".317",".400",".311","94","-9.3","-52.7","-24.7","13.3"
"1971","Astros","2034","6105","71","585","547","101","7.8 %","14.5 %",".100",".273",".240",".302",".340",".293","84","2.6","-106.1","30.8","13.3"
"1991","Mets","2141","6077","117","640","605","153","9.5 %","13.0 %",".121",".264",".244",".317",".365",".308","94","2.8","-41.8","-30.0","13.3"
"1961","Twins","2037","6156","167","707","665","47","9.7 %","13.6 %",".147",".266",".250",".326",".397",".323","90","-6.2","-80.7","19.9","13.2"
"1966","Astros","1998","6162","112","609","570","90","8.0 %","14.3 %",".111",".284",".255",".318",".366",".303","93","3.4","-46.9","-45.4","13.2"
"1997","Brewers","2085","6097","135","681","643","103","8.1 %","15.9 %",".138",".291",".260",".325",".398",".319","86","-2.7","-112.2","32.0","13.2"
"2002","Expos","2262","6250","162","735","695","118","9.2 %","17.7 %",".157",".298",".261",".334",".418",".326","93","-0.3","-58.5","-12.7","13.2"
"1942","Braves","1800","5660","68","515","479","49","8.4 %","9.0 %",".089",".255",".240",".307",".329",".306","87","7.2","-71.6","35.1","13.2"
"2007","Nationals","2528","6201","123","673","646","69","8.5 %","18.2 %",".134",".300",".256",".325",".390",".315","88","-10.8","-108.6","39.1","13.2"
"1928","Robins","1813","5992","66","665","621","81","9.3 %","8.5 %",".108",".284",".266",".340",".374",".334","89","13.1","-75.8","20.9","13.2"
"1943","Browns","1707","5864","78","594","552","37","9.7 %","11.0 %",".103",".268",".245",".322",".349",".325","93","-10.6","-57.4","-11.6","13.2"
"2005","Twins","2235","6192","134","688","644","102","7.8 %","15.8 %",".132",".291",".259",".323",".391",".312","89","-14.5","-96.1","18.6","13.2"
"1997","Cubs","2353","6098","127","687","642","116","7.4 %","16.4 %",".133",".300",".263",".321",".396",".315","83","-2.2","-137.5","76.5","13.2"
"1959","Athletics","1941","5884","117","681","637","34","8.2 %","13.3 %",".127",".287",".263",".326",".390",".320","93","-0.8","-49.7","8.2","13.2"
"1971","Cubs","1925","6126","128","637","603","44","8.6 %","12.6 %",".120",".278",".258",".325",".378",".319","90","-1.8","-71.4","-10.5","13.1"
"1955","Cardinals","2021","5855","143","654","608","64","7.8 %","10.2 %",".138",".270",".261",".321",".400",".322","89","-6.7","-86.0","51.2","13.1"
"2014","Phillies","2282","6198","125","619","584","109","7.1 %","21.1 %",".121",".292",".242",".302",".363",".295","86","10.8","-85.3","21.0","13.1"
"2002","Padres","2372","6178","136","662","627","71","8.9 %","17.2 %",".129",".288",".253",".321",".381",".309","91","-12.4","-81.8","12.0","13.1"
"1984","Braves","2075","6103","111","631","578","140","9.1 %","14.7 %",".115",".275",".247",".316",".361",".305","84","-5.8","-113.3","38.5","13.1"
"1918","White Sox","1283","4690","8","455","375","116","8.0 %","7.6 %",".065",".279",".256",".322",".321",".318","94","-2.0","-29.3","-6.5","13.1"
"1985","Royals","1836","6095","154","687","657","128","7.8 %","13.8 %",".149",".271",".252",".313",".401",".315","93","4.7","-47.0","-25.6","13.1"
"2009","Astros","2340","6040","142","643","616","113","7.4 %","16.4 %",".140",".293",".260",".319",".400",".315","89","-18.0","-99.0","36.0","13.1"
"1994","Tigers","1205","4574","161","652","622","46","11.4 %","19.6 %",".189",".301",".265",".352",".454",".351","106","-5.2","32.4","-51.8","13.1"
"2011","Astros","2377","6150","95","615","579","118","6.5 %","18.9 %",".116",".308",".258",".311",".374",".301","88","-0.6","-89.1","21.7","13.1"
"1975","Giants","2037","6186","84","659","606","99","9.8 %","12.5 %",".106",".286",".259",".333",".365",".321","91","2.7","-64.5","-13.8","13.1"
"1981","Royals","1089","3941","61","397","381","100","7.6 %","10.6 %",".115",".286",".267",".325",".383",".321","102","0.5","8.9","-8.5","13.0"
"1945","Browns","1697","5866","63","597","557","25","8.5 %","9.5 %",".091",".269",".249",".316",".341",".317","87","-10.0","-95.7","37.6","13.0"
"1933","Dodgers","1811","5872","62","617","566","82","6.8 %","7.7 %",".095",".278",".263",".316",".359",".316","94","15.3","-23.5","-24.7","13.0"
"1995","Cardinals","1940","5349","107","563","533","79","8.2 %","17.2 %",".127",".283",".247",".314",".374",".306","83","-5.5","-121.9","71.5","13.0"
"1935","Red Sox","1751","6058","69","717","660","91","10.1 %","7.8 %",".116",".292",".276",".353",".392",".347","90","-9.9","-94.9","23.5","13.0"
"2005","Giants","2360","6077","128","649","617","71","7.1 %","14.8 %",".135",".290",".261",".319",".396",".312","86","-13.9","-121.6","53.1","13.0"
"1951","Pirates","2047","5970","137","689","648","29","9.3 %","10.3 %",".139",".271",".258",".331",".398",".338","90","-0.8","-77.3","4.7","13.0"
"1963","Indians","2083","6136","169","635","592","59","7.6 %","18.0 %",".142",".268",".239",".301",".381",".304","91","0.1","-62.5","16.8","12.9"
"1979","Indians","1721","6207","138","760","707","143","10.6 %","12.7 %",".126",".277",".258",".340",".384",".327","98","-5.8","-21.2","-58.2","12.9"
"1980","Braves","2204","5961","144","630","597","73","7.3 %","15.1 %",".130",".275",".250",".307",".380",".308","85","-6.7","-109.2","47.9","12.9"
"1959","Cardinals","2143","5905","118","641","605","65","8.2 %","12.7 %",".131",".294",".269",".331",".400",".325","90","-6.2","-83.9","3.9","12.9"
"2016","Twins","1873","6245","200","722","690","91","8.2 %","22.8 %",".171",".300",".251",".316",".421",".317","95","8.5","-25.7","-61.1","12.9"
"1941","Reds","1673","5816","64","616","567","68","8.1 %","7.4 %",".090",".259",".247",".312",".337",".308","84","11.1","-100.0","53.4","12.8"
"1938","Bees","1683","5772","54","559","519","49","7.3 %","9.5 %",".084",".270",".250",".309",".333",".302","83","7.8","-112.4","69.3","12.8"
"1978","White Sox","1790","5956","106","634","595","83","6.9 %","10.5 %",".115",".279",".264",".317",".379",".315","95","-8.7","-42.1","-29.5","12.8"
"1949","Pirates","1878","5870","126","678","626","48","9.3 %","9.4 %",".125",".270",".259",".332",".384",".337","87","8.4","-90.0","27.1","12.7"
"1947","White Sox","1778","5833","53","553","519","91","8.4 %","9.0 %",".086",".276",".256",".321",".342",".314","86","-5.8","-103.1","42.0","12.7"
"2012","Orioles","2282","6160","214","712","677","58","7.8 %","21.3 %",".170",".286",".247",".311",".417",".317","96","-18.1","-45.0","-37.8","12.7"
"2014","Indians","2391","6222","142","669","644","104","8.1 %","19.1 %",".136",".296",".253",".317",".389",".313","98","9.9","-1.7","-82.4","12.7"
"1997","Twins","1962","6267","132","772","730","151","7.9 %","17.9 %",".139",".313",".270",".333",".409",".327","91","8.2","-67.9","-22.3","12.7"
"1995","Rangers","1548","5566","138","691","651","90","9.5 %","15.8 %",".144",".296",".265",".338",".410",".331","91","-3.9","-68.6","8.0","12.7"
"1968","Phillies","1952","5957","100","543","504","58","7.7 %","16.8 %",".100",".267",".233",".294",".334",".286","89","-5.0","-67.5","-28.9","12.7"
"1982","Athletics","1833","6154","149","691","659","232","9.5 %","15.4 %",".131",".258",".236",".309",".367",".305","91","12.2","-54.1","-17.6","12.7"
"2003","Athletics","2197","6189","176","768","742","48","9.0 %","14.5 %",".162",".273",".254",".327",".417",".322","95","5.2","-35.5","-49.1","12.7"
"2004","Blue Jays","2194","6178","145","719","680","58","8.3 %","17.5 %",".143",".298",".260",".328",".403",".320","88","-9.3","-107.0","26.4","12.7"
"1981","Giants","1459","4258","63","427","399","89","9.1 %","12.8 %",".107",".275",".250",".320",".357",".309","95","-0.6","-26.1","2.6","12.7"
"1971","Brewers","2072","5894","104","534","496","82","9.2 %","15.7 %",".100",".259",".229",".304",".329",".292","81","-1.9","-127.4","70.0","12.6"
"1996","Dodgers","2211","6182","150","702","661","124","8.3 %","19.2 %",".132",".294",".252",".317",".384",".308","91","5.4","-67.4","11.5","12.6"
"2015","Padres","2396","6019","148","650","623","82","7.1 %","22.0 %",".142",".292",".243",".300",".385",".298","90","5.0","-68.0","-0.7","12.6"
"1944","Senators","1653","5924","33","592","530","127","7.9 %","8.0 %",".069",".281",".261",".324",".330",".314","91","-0.8","-63.1","-12.9","12.6"
"2002","Pirates","2343","6053","142","641","611","86","8.9 %","18.3 %",".137",".281",".244",".319",".380",".308","84","7.9","-114.1","43.3","12.6"
"1969","White Sox","2178","6158","112","625","585","54","9.0 %","13.7 %",".110",".272",".247",".320",".357",".310","88","4.7","-78.0","16.6","12.6"
"1982","Cubs","2249","6141","102","676","647","132","7.5 %","14.2 %",".115",".289",".260",".317",".375",".308","87","-1.1","-87.5","1.7","12.5"
"1998","Expos","2319","6042","147","644","602","91","7.3 %","17.5 %",".145",".283",".249",".310",".394",".309","83","-1.9","-134.4","71.3","12.5"
"2008","Pirates","2340","6278","153","735","705","57","7.6 %","16.5 %",".145",".290",".258",".320",".403",".317","89","0.1","-89.2","11.3","12.5"
"2003","Royals","2217","6239","162","836","781","120","7.6 %","14.8 %",".153",".301",".274",".336",".427",".332","95","7.3","-30.2","-57.8","12.5"
"1925","Yankees","1804","6012","110","705","652","69","7.8 %","8.0 %",".136",".286",".275",".336",".410",".343","88","-6.5","-109.4","29.5","12.5"
"2007","Pirates","2304","6214","148","724","694","68","7.5 %","18.3 %",".149",".303",".263",".325",".411",".322","90","-10.4","-94.0","16.8","12.5"
"2005","Diamondbacks","2370","6327","191","696","670","67","9.6 %","17.3 %",".165",".285",".256",".332",".421",".328","91","1.3","-71.2","-10.7","12.4"
"2007","Astros","2409","6324","167","723","700","65","8.6 %","16.5 %",".152",".291",".260",".330",".412",".325","92","-17.9","-86.6","5.3","12.4"
"1995","Rockies","2118","5647","200","785","749","125","8.6 %","16.7 %",".189",".311",".282",".350",".471",".357","91","-2.1","-65.8","1.8","12.4"
"1980","Twins","1825","6131","99","670","634","62","7.1 %","11.5 %",".116",".286",".265",".319",".381",".314","88","-6.3","-91.3","9.2","12.4"
"1941","Senators","1704","6067","52","728","671","79","7.7 %","8.0 %",".104",".291",".272",".331",".376",".331","88","-1.7","-95.6","-1.8","12.4"
"1990","Twins","1804","6086","100","666","625","96","7.3 %","12.3 %",".120",".289",".265",".324",".385",".319","94","-4.1","-47.7","-25.0","12.4"
"1956","Phillies","1895","5905","121","668","616","45","9.9 %","11.3 %",".128",".268",".253",".329",".381",".318","93","3.2","-48.1","2.1","12.4"
"1973","Mets","1956","6160","85","606","552","27","8.8 %","13.1 %",".092",".273",".246",".315",".338",".299","85","-0.5","-105.8","31.3","12.4"
"1979","Cubs","2209","6171","135","706","663","73","7.7 %","12.3 %",".134",".290",".269",".329",".403",".326","90","-4.5","-75.7","-12.2","12.3"
"1991","Phillies","2187","6105","111","629","587","92","8.0 %","16.7 %",".117",".276",".242",".303",".359",".298","85","6.4","-98.0","19.0","12.3"
"1957","Giants","2073","5880","157","643","612","64","7.6 %","11.3 %",".141",".262",".253",".311",".393",".313","89","1.8","-78.0","21.8","12.3"
"1931","Reds","1790","5860","21","592","562","24","6.9 %","7.9 %",".083",".292",".269",".323",".352",".316","85","3.6","-106.5","46.5","12.3"
"1920","Pirates","1601","5776","16","529","448","180","6.4 %","7.0 %",".075",".277",".257",".310",".332",".306","82","5.7","-108.1","43.9","12.3"
"1969","Phillies","1993","6079","137","645","593","73","9.0 %","18.6 %",".131",".279",".241",".312",".372",".310","92","-1.9","-61.0","-36.4","12.2"
"1978","Cubs","2296","6256","72","664","612","110","9.0 %","11.9 %",".097",".291",".264",".331",".361",".314","85","0.9","-106.6","17.0","12.2"
"1941","Braves","1954","5968","48","592","552","61","7.9 %","10.1 %",".083",".275",".251",".312",".334",".306","84","9.6","-103.6","46.2","12.2"
"2010","Indians","2255","6165","128","646","601","91","8.8 %","19.2 %",".130",".293",".248",".322",".378",".311","94","1.3","-40.7","-51.9","12.2"
"1957","Phillies","1902","5884","116","621","563","57","9.0 %","12.8 %",".124",".270",".250",".322",".374",".312","88","5.3","-78.6","21.4","12.2"
"1998","Dodgers","2090","6071","158","668","629","137","7.4 %","17.4 %",".135",".284",".252",".310",".387",".307","88","4.3","-90.5","24.1","12.2"
"1999","White Sox","1904","6264","162","777","742","110","8.0 %","12.9 %",".152",".297",".277",".337",".429",".335","94","-0.5","-53.4","-37.7","12.2"
"1925","Cubs","1682","5933","86","722","660","94","6.7 %","7.9 %",".122",".289",".275",".329",".397",".335","83","-0.4","-141.6","59.3","12.1"
"1960","Tigers","1952","5988","150","633","601","66","10.6 %","12.2 %",".136",".251",".239",".324",".375",".316","87","2.6","-96.0","40.0","12.1"
"2001","Mets","2262","6155","147","642","608","66","8.9 %","17.3 %",".137",".283",".249",".323",".387",".309","87","-7.9","-115.7","37.9","12.1"
"1965","Yankees","2115","6075","149","611","576","35","8.0 %","15.6 %",".129",".258",".235",".298",".364",".295","89","-0.3","-76.4","6.6","12.1"
"2015","Braves","2340","6034","100","573","548","69","7.8 %","18.3 %",".108",".297",".251",".314",".359",".296","84","-2.5","-115.3","40.8","12.1"
"1991","Mariners","1849","6237","126","702","665","97","9.4 %","13.0 %",".128",".276",".255",".328",".383",".319","95","1.8","-31.5","-53.4","12.1"
"2012","Mariners","2236","6057","149","619","584","104","7.7 %","20.8 %",".135",".276",".234",".296",".369",".291","87","-1.3","-91.0","5.1","12.0"
"1983","Angels","1717","6294","154","722","682","41","8.1 %","13.3 %",".132",".280",".260",".322",".393",".320","97","-8.2","-33.2","-59.1","12.0"
"1994","Twins","1201","4409","103","594","556","94","8.1 %","14.4 %",".150",".304",".276",".340",".427",".336","95","5.7","-21.5","-5.4","12.0"
"1954","Cubs","1861","5960","159","699","639","46","8.0 %","11.6 %",".149",".276",".264",".325",".412",".337","89","1.0","-84.8","14.1","12.0"
"2014","White Sox","2285","6077","155","660","625","85","6.9 %","22.4 %",".146",".306",".253",".310",".398",".312","99","-14.2","-24.6","-61.7","12.0"
"2012","Blue Jays","2289","6094","198","716","677","123","7.8 %","20.5 %",".161",".281",".245",".309",".407",".311","92","2.5","-55.8","-32.0","12.0"
"1997","Athletics","2045","6369","197","764","714","71","10.1 %","18.5 %",".163",".295",".260",".339",".423",".336","101","-0.9","8.2","-107.8","12.0"
"1954","Senators","1820","6005","81","632","592","37","10.2 %","12.0 %",".108",".270",".246",".325",".355",".317","88","3.5","-81.4","12.0","12.0"
"1984","Dodgers","2197","6022","102","580","530","109","8.1 %","13.7 %",".105",".269",".244",".306",".349",".295","87","-5.8","-95.1","10.4","12.0"
"1997","Padres","2209","6373","152","795","761","140","9.5 %","17.7 %",".136",".312",".271",".342",".407",".331","102","2.6","15.4","-94.2","11.9"
"1967","Reds","1985","6012","109","604","560","92","6.2 %","16.1 %",".124",".281",".248",".297",".372",".298","84","-1.3","-106.9","13.0","11.9"
"2013","Yankees","2253","6044","144","650","614","115","7.7 %","20.1 %",".133",".285",".242",".307",".376",".301","86","5.3","-88.3","-0.2","11.9"
"1987","Astros","2212","6149","122","648","603","162","8.6 %","15.2 %",".120",".282",".253",".318",".373",".304","85","10.4","-104.0","13.1","11.9"
"1919","Browns","1522","5299","31","535","460","74","7.4 %","8.4 %",".091",".287",".264",".326",".355",".327","89","-11.4","-80.9","3.9","11.9"
"1917","Athletics","1648","5781","17","528","457","112","7.5 %","9.0 %",".069",".280",".254",".316",".323",".313","92","-8.6","-58.6","-18.0","11.9"
"1929","Reds","1740","5881","34","686","618","134","7.0 %","5.9 %",".098",".295",".281",".336",".379",".330","81","24.6","-142.4","65.2","11.9"
"1916","Pirates","1737","5766","20","484","406","173","6.4 %","10.7 %",".075",".270",".241",".298",".316",".300","88","6.7","-60.1","-21.3","11.8"
"1937","Red Sox","1660","6085","100","819","769","79","9.9 %","9.2 %",".130",".299",".281",".357",".411",".356","90","-14.8","-102.1","3.1","11.8"
"2000","Phillies","1954","6273","144","708","668","102","9.7 %","17.8 %",".148",".290",".251",".329",".400",".320","83","7.3","-137.5","51.5","11.8"
"2000","Brewers","2207","6355","177","740","708","72","9.8 %","19.6 %",".158",".284",".246",".325",".403",".319","82","-5.1","-157.3","67.0","11.7"
"1946","Phillies","1817","5771","80","560","516","41","7.2 %","10.2 %",".101",".279",".258",".315",".359",".320","90","5.3","-55.7","-4.3","11.7"
"1982","Yankees","1717","6245","161","709","666","69","9.4 %","11.5 %",".142",".268",".256",".328",".398",".325","102","-3.9","9.5","-97.4","11.7"
"2016","Brewers","2023","6061","194","671","641","181","9.9 %","25.5 %",".163",".304",".244",".322",".407",".315","90","5.1","-67.3","-10.8","11.7"
"2012","Cubs","2341","5967","137","613","570","94","7.5 %","20.7 %",".138",".286",".240",".302",".378",".297","81","-5.8","-138.7","64.6","11.7"
"1942","Pirates","1789","5754","54","585","544","41","9.3 %","9.4 %",".085",".265",".245",".320",".330",".314","89","5.4","-63.7","8.1","11.6"
"1922","Robins","1725","5954","56","741","674","79","5.7 %","5.3 %",".103",".300",".290",".335",".392",".337","86","2.7","-111.0","12.1","11.6"
"1994","Athletics","1290","4396","113","549","515","91","9.5 %","15.6 %",".140",".286",".260",".330",".399",".322","92","1.1","-44.3","12.2","11.6"
"2002","Devil Rays","2007","6198","133","673","640","102","7.4 %","18.0 %",".137",".293",".253",".314",".390",".309","87","6.6","-95.0","-0.9","11.5"
"2014","Astros","2229","6055","163","629","596","122","8.2 %","23.8 %",".141",".298",".242",".309",".383",".308","98","4.2","-7.5","-82.4","11.5"
"1995","Brewers","1612","5631","128","740","700","105","8.9 %","14.2 %",".143",".292",".266",".336",".409",".331","91","2.2","-60.9","-14.0","11.5"
"1960","Senators","2098","5999","147","672","626","52","9.7 %","14.7 %",".140",".267",".245",".324",".384",".318","90","-4.6","-81.6","17.9","11.5"
"1989","Reds","2243","6155","128","631","588","128","8.0 %","16.7 %",".124",".280",".247",".310",".371",".306","90","-3.8","-70.8","-15.8","11.4"
"1971","Phillies","2061","6171","123","558","522","63","8.1 %","16.7 %",".117",".263",".233",".298",".350",".295","81","-0.6","-132.7","40.5","11.4"
"1993","Royals","1723","6101","125","675","641","100","7.0 %","15.3 %",".134",".295",".263",".320",".397",".317","89","-10.0","-89.6","10.2","11.4"
"1986","Dodgers","2288","6101","130","638","599","155","7.8 %","15.8 %",".119",".282",".251",".313",".370",".304","91","3.6","-60.4","-29.0","11.4"
"1993","Mets","2146","6057","158","672","632","79","7.4 %","14.5 %",".142",".267",".248",".305",".390",".308","85","-3.8","-117.6","17.3","11.4"
"1996","Phillies","2083","6171","132","650","604","117","8.7 %","17.7 %",".131",".295",".256",".325",".387",".314","85","3.5","-110.4","39.3","11.3"
"2001","Royals","1837","6176","152","729","691","100","6.6 %","14.5 %",".143",".291",".266",".318",".409",".314","82","1.5","-135.4","35.8","11.3"
"1986","Royals","1809","6128","137","654","618","97","7.7 %","15.0 %",".138",".279",".252",".313",".390",".312","89","0.5","-77.9","-15.0","11.3"
"1937","Reds","1879","5746","73","610","566","53","7.6 %","10.2 %",".106",".275",".254",".315",".360",".314","85","7.5","-97.1","24.1","11.3"
"2004","Mets","2390","6209","185","684","658","107","8.2 %","18.7 %",".160",".282",".249",".317",".409",".314","88","-2.0","-101.6","8.5","11.3"
"1944","Blue Jays","1753","5909","55","539","495","32","8.0 %","8.6 %",".085",".270",".251",".316",".336",".312","85","3.1","-97.3","25.2","11.3"
"2014","Rangers","2264","6026","111","637","597","105","6.9 %","19.3 %",".119",".305",".256",".314",".375",".305","90","-1.4","-66.4","-24.5","11.3"
"1960","Cubs","2121","5960","119","634","600","51","8.9 %","15.1 %",".125",".271",".243",".313",".369",".304","84","-1.4","-114.4","29.7","11.3"
"1953","Red Sox","1939","5874","101","656","614","33","8.4 %","10.2 %",".121",".282",".264",".332",".385",".329","84","-7.2","-123.1","37.7","11.3"
"2001","Tigers","1841","6145","139","724","691","133","7.6 %","15.8 %",".150",".291",".260",".320",".409",".316","94","-0.2","-45.2","-52.0","11.3"
"1972","Indians","1981","5769","91","472","440","49","7.3 %","13.2 %",".095",".257",".234",".293",".330",".284","79","-7.7","-130.6","79.0","11.2"
"1958","Athletics","1965","5845","138","642","605","22","7.7 %","12.8 %",".135",".262",".247",".307",".381",".306","85","-6.6","-109.2","35.8","11.2"
"1990","Braves","2130","6084","162","682","636","92","7.8 %","16.6 %",".146",".278",".250",".311",".396",".317","89","-5.5","-82.4","-24.0","11.2"
"1987","Cubs","2249","6197","209","720","683","109","8.1 %","17.2 %",".168",".292",".264",".326",".432",".329","92","-1.1","-63.0","-36.2","11.2"
"1970","Cardinals","2160","6362","113","744","687","117","8.9 %","15.1 %",".116",".297",".263",".331",".379",".319","90","6.8","-73.0","-38.9","11.2"
"1971","Braves","1995","6172","153","643","597","57","7.0 %","12.1 %",".128",".271",".257",".312",".385",".314","89","-4.3","-79.3","-23.0","11.2"
"1994","Brewers","1224","4494","99","547","510","59","9.3 %","15.1 %",".145",".292",".263",".335",".408",".326","91","-4.4","-60.8","20.8","11.2"
"2016","Padres","2005","6000","177","686","654","125","7.5 %","25.0 %",".155",".291",".235",".299",".390",".297","85","24.8","-85.3","3.4","11.1"
"1996","Blue Jays","1664","6295","177","766","712","116","8.4 %","17.6 %",".161",".293",".259",".331",".420",".331","90","4.6","-79.8","-39.7","11.1"
"1953","Athletics","1822","6028","116","632","588","41","8.3 %","10.0 %",".115",".271",".256",".321",".372",".319","82","3.4","-127.7","35.5","11.1"
"2015","Brewers","2377","6024","145","655","624","84","6.8 %","21.6 %",".142",".303",".251",".307",".393",".304","87","2.3","-93.1","9.9","11.1"
"1966","Indians","2045","6015","155","570","532","53","7.4 %","15.0 %",".123",".258",".238",".297",".361",".292","88","-2.1","-84.4","23.5","11.1"
"1950","Athletics","1719","5993","100","670","627","42","11.4 %","8.2 %",".117",".273",".261",".349",".378",".341","86","-4.4","-124.1","23.6","11.1"
"1951","Senators","1757","5979","54","672","627","45","9.4 %","8.6 %",".093",".283",".263",".336",".355",".325","90","-1.8","-78.7","-4.2","11.1"
"1961","Cubs","2000","5992","176","689","649","35","9.0 %","17.1 %",".163",".284",".255",".325",".418",".327","93","-1.4","-52.4","-39.8","11.0"
"2012","Marlins","2269","6057","137","609","576","149","8.0 %","20.3 %",".138",".289",".244",".308",".382",".300","87","3.7","-91.7","8.9","11.0"
"1995","Royals","1720","5528","119","629","578","120","8.6 %","15.4 %",".136",".291",".260",".328",".396",".321","86","-0.4","-100.2","22.9","11.0"
"1995","Expos","2022","5452","118","621","572","120","7.3 %","16.5 %",".136",".294",".259",".320",".394",".315","85","1.4","-101.6","28.9","11.0"
"1961","Senators","1985","6062","119","618","578","81","9.2 %","15.1 %",".123",".272",".244",".315",".367",".306","84","-1.2","-124.0","44.4","11.0"
"1975","Expos","2224","6272","98","601","542","108","9.2 %","15.2 %",".104",".277",".244",".317",".348",".305","81","0.6","-136.5","39.4","10.9"
"1955","Cubs","1878","5766","164","625","597","37","7.4 %","14.0 %",".151",".263",".247",".305",".398",".313","83","-2.7","-123.2","69.5","10.9"
"2016","Phillies","1997","5992","161","610","575","96","7.1 %","23.0 %",".144",".292",".240",".301",".385",".296","82","0.5","-134.9","51.0","10.9"
"1993","Brewers","1795","6222","125","733","688","138","8.9 %","15.0 %",".120",".288",".258",".328",".378",".316","89","-9.8","-94.0","5.6","10.9"
"1978","Cardinals","2056","5966","79","600","568","97","7.0 %","12.0 %",".109",".272",".249",".303",".358",".298","83","3.9","-109.9","17.3","10.9"
"1921","White Sox","1608","5974","35","674","609","94","7.5 %","8.0 %",".096",".307",".284",".344",".380",".338","85","-4.3","-124.5","30.9","10.9"
"1944","Dodgers","1909","6007","56","688","631","45","8.1 %","7.5 %",".097",".286",".269",".331",".366",".331","95","5.6","-28.2","-57.0","10.9"
"1944","Braves","1867","5867","79","593","558","37","7.8 %","8.6 %",".107",".260",".246",".308",".353",".314","85","4.4","-101.2","26.1","10.8"
"2015","Twins","2311","6017","156","696","661","70","7.3 %","21.0 %",".152",".292",".247",".305",".399",".305","90","-4.4","-76.3","-18.7","10.8"
"1934","Red Sox","1703","6044","51","820","756","116","10.1 %","8.9 %",".109",".298",".274",".350",".383",".342","87","-0.4","-110.2","6.3","10.8"
"1994","Cubs","1606","4386","109","500","464","69","8.3 %","17.1 %",".145",".294",".259",".325",".404",".320","89","-9.5","-72.3","35.7","10.8"
"2006","Diamondbacks","2282","6330","160","773","743","76","8.0 %","15.2 %",".157",".294",".267",".331",".424",".326","87","-6.6","-112.3","12.3","10.8"
"1999","Marlins","2214","6216","128","691","655","92","7.7 %","18.4 %",".132",".307",".263",".325",".395",".317","84","-2.3","-135.2","44.3","10.8"
"1973","Phillies","2050","6156","134","642","592","51","7.7 %","15.9 %",".122",".278",".249",".310",".371",".307","85","-5.6","-112.4","22.8","10.8"
"1977","Brewers","1779","6088","125","639","598","85","7.3 %","14.2 %",".131",".284",".258",".314",".389",".312","90","-5.9","-74.5","-25.1","10.7"
"1966","Reds","2106","6043","149","692","651","70","6.5 %","14.5 %",".135",".283",".260",".309",".395",".309","88","-2.0","-89.1","-19.4","10.7"
"1975","White Sox","1649","6243","94","655","604","101","9.8 %","12.8 %",".103",".281",".255",".331",".358",".318","94","-0.8","-40.0","-61.3","10.7"
"1997","Reds","2303","6153","142","651","612","190","8.4 %","18.1 %",".137",".292",".253",".321",".389",".314","85","9.5","-110.9","23.9","10.7"
"1943","Blue Jays","1754","5912","66","569","528","29","8.4 %","9.4 %",".086",".268",".249",".316",".335",".316","89","3.4","-67.7","-9.6","10.6"
