"Season","Team","W","L","SV","G","GS","IP","R","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"2003","Dodgers","85","77","58","600","162","1457.2","556","7.96","3.25","0.78",".280","77.0 %","48.0 %","10.5 %","3.16","3.56","3.63","27.0"
"1964","Orioles","97","65","41","401","163","1458.2","567","5.79","2.81","0.80",".262","75.9 %","","","3.16","3.48","","17.1"
"1921","Pirates","90","63","10","245","154","1415.2","595","3.18","2.05","0.24",".283","69.1 %","","","3.17","3.50","","20.6"
"1919","Braves","57","82","9","214","140","1270.1","563","2.65","2.39","0.21",".283","67.9 %","","","3.17","3.04","","8.8"
"1941","Reds","88","66","10","266","154","1386.2","564","4.07","3.31","0.40",".266","72.5 %","","","3.17","3.47","","17.5"
"1944","Browns","89","65","17","281","154","1397.1","587","3.74","3.02","0.37",".276","71.8 %","","","3.17","3.28","","18.2"
"1975","Orioles","90","69","21","308","159","1451.0","553","4.45","3.10","0.68",".255","75.7 %","","","3.17","3.64","","16.5"
"1965","Angels","75","87","33","398","162","1441.2","569","5.29","3.51","0.57",".260","74.4 %","","","3.17","3.39","","13.7"
"1984","Dodgers","79","83","27","420","162","1460.2","600","6.36","3.07","0.47",".289","72.5 %","","","3.17","3.09","","22.0"
"2014","Mariners","87","75","51","659","162","1452.0","554","8.16","2.87","0.85",".275","76.8 %","45.4 %","9.9 %","3.17","3.61","3.57","15.6"
"1990","Athletics","103","59","64","465","162","1456.0","570","5.14","3.05","0.76",".256","75.7 %","","","3.18","3.84","","14.5"
"2013","Braves","96","66","53","628","162","1450.1","548","7.65","2.54","0.79",".288","77.0 %","45.8 %","9.4 %","3.18","3.44","3.58","18.4"
"1978","Yankees","100","63","36","351","163","1460.2","582","5.03","2.95","0.68",".262","74.5 %","","","3.18","3.50","","20.2"
"1997","Braves","101","61","37","536","162","1465.2","581","7.34","2.76","0.68",".283","74.1 %","","","3.18","3.45","","28.5"
"1943","Senators","84","69","21","287","153","1388.0","595","3.21","3.50","0.31",".259","70.4 %","","","3.18","3.35","","12.0"
"1954","Braves","89","65","21","347","154","1394.2","556","4.50","3.57","0.68",".265","76.4 %","","","3.19","3.64","","15.0"
"1964","Giants","90","72","30","413","162","1476.1","587","6.24","2.93","0.72",".271","75.2 %","","","3.19","3.31","","16.2"
"1941","Cardinals","97","56","20","326","155","1416.1","589","4.19","3.19","0.54",".257","72.3 %","","","3.19","3.62","","17.6"
"1967","Angels","84","77","46","462","161","1430.1","587","5.61","3.30","0.74",".258","74.4 %","","","3.19","3.55","","6.8"
"1976","Yankees","97","62","37","314","159","1455.0","575","4.17","2.77","0.60",".254","73.0 %","","","3.19","3.53","","15.0"
"1934","Giants","93","60","30","282","153","1370.0","583","3.28","2.31","0.49",".272","71.0 %","","","3.19","3.91","","14.4"
"2012","Rays","90","72","50","634","162","1459.2","577","8.53","2.89","0.86",".277","75.5 %","47.9 %","10.7 %","3.19","3.51","3.59","23.5"
"1979","Astros","89","73","31","399","162","1447.2","582","5.31","3.13","0.56",".262","72.9 %","","","3.20","3.45","","17.1"
